,Symbol,MarketCap,Beta,PERatio,EPS,EVToRevenue,ROE,ProfitMargin,PriceToBook,AverageStockPrice
72,EFX,36240550000,1.433,66.98,5.75,8.24,21.94,0.145,10.17,189.34
73,EQIX,71842973000,0.358,169.9,4.743,13.17,0.0405,0.0654,6.8,722.27
74,EQR,32990180000,0.809,86.47,2.774,16.87,10.0,0.435,3.066,69.44
75,ESS,22941510000,0.747,78.2,6.87,19.86,7.44,0.298,3.782,270.76
76,EL,130081400000,1.005,41.24,8.25,7.87,57.7,0.178,21.39,251.22
77,ETSY,28561166000,1.623,64.65,3.367,13.49,0.801,0.215,53.52,146.28
78,EVRG,15349523000,0.431,17.51,3.836,4.697,0.0983,0.158,1.647,60.27
79,ES,30213655000,0.402,25.93,3.442,5.15,0.0832,0.123,2.096,85.75
80,RE,10628456000,0.689,10.66,25.3,1.05,0.103,0.0879,1.065,237.87
81,EXC,52741112000,0.481,31.49,1.71,2.627,0.0541,0.0481,1.558,42.92
82,EXPE,25297539000,1.616,None,-6.51,4.093,-0.199,-0.105,15.78,124.88
83,EXPD,22193595000,0.785,19.71,6.76,1.423,0.393,0.0793,6.49,96.03
84,EXR,28498870000,0.323,59.51,5.38,22.41,26.55,0.465,9.34,127.61
85,XOM,266757000000,1.348,56.81,-1.38,1.321,-3.506,-0.0243,1.661,51.07
86,FFIV,14049695000,1.052,42.94,5.34,5.32,0.144,0.127,5.95,165.06
87,FAST,36867971000,1.218,40.93,1.54,6.38,0.304,0.152,12.44,46.42
88,FRT,10076850000,1.125,105.24,3.024,15.74,10.39,0.264,4.405,100.61
89,FDX,65424296000,1.287,12.74,18.84,1.095,0.233,0.0588,2.69,223.6
90,FIS,63786170000,0.746,78.32,0.366,6.07,0.478,0.017,1.351,137.89
91,FITB,29866453000,1.454,11.92,3.618,-,0.119,0.329,1.464,29.89
92,FE,21869340000,0.334,15.29,2.017,4.063,13.92,0.101,2.884,37.02
93,FRC,37409820000,1.113,28.03,7.26,-,0.105,0.294,3.141,146.44
94,FISV,68129333000,0.826,54.01,1.93,5.58,0.0417,0.0823,2.156,108.64
95,FLT,18091859000,1.421,22.32,9.69,8.5,0.27,0.311,5.7,260.74
96,FMC,13710709000,0.864,22.9,4.569,3.504,0.205,0.124,4.523,103.46
97,F,85719380000,1.089,28.12,0.713,1.375,0.0815,0.0213,2.342,10.06
98,FTNT,54384935000,1.153,95.06,3.322,16.72,0.6,0.177,48.64,175.77
99,FTV,26950696000,1.203,16.15,4.584,5.59,0.2,0.319,2.892,55.53
100,FBHS,14344406000,1.633,19.15,5.42,2.268,0.268,0.103,4.696,82.18
