,Symbol,MarketCap,Beta,PERatio,EPS,EVToRevenue,ROE,ProfitMargin,PriceToBook,AverageStockPrice
72,KMI,36641596000,1.015,20.71,0.768,4.519,0.0565,0.115,1.199,16.15
73,KLAC,62269707000,1.207,22.48,17.62,8.47,0.823,0.365,16.13,252.82
74,KHC,41801050000,1.079,18.74,1.858,2.417,0.0465,0.0876,0.835,34.29
75,KR,32914800000,0.421,34.4,1.325,0.37,0.104,0.0075,3.468,34.97
76,LHX,42541682000,0.875,28.35,7.51,2.719,0.0752,0.0858,2.183,199.7
77,LH,27598923000,1.014,10.38,28.19,1.927,0.294,0.167,2.622,219.11
78,LRCX,99398248000,1.174,22.96,29.59,6.33,0.759,0.271,17.08,450.94
79,LW,8333202000,0.708,32.78,1.75,2.723,0.68,0.0683,19.5,71.45
80,LVS,28771854000,1.486,None,-1.499,8.48,-0.542,-0.231,13.69,51.88
81,LEG,5576501000,1.487,14.08,2.919,1.544,0.278,0.0812,3.539,43.21
82,LDOS,12363897000,0.854,16.29,5.42,1.296,0.198,0.0575,3.005,98.2
83,LEN,35320129000,1.498,8.37,13.18,1.534,0.218,0.162,1.752,79.87
84,LLY,233542467000,0.345,38.04,6.55,8.89,0.922,0.215,30.11,181.14
85,LNC,12192415000,2.106,9.52,6.97,0.867,0.0622,0.0708,0.576,51.56
86,LIN,171193280000,0.826,49.22,6.8,6.16,0.0786,0.12,3.862,252.09
87,LYV,25132714000,1.291,None,-4.165,7.31,-2.412,-0.236,31.01,70.06
88,LKQ,16897744000,1.617,16.44,3.436,1.577,0.182,0.0806,2.863,37.96
89,LMT,95113227000,0.92,15.92,21.71,1.568,0.829,0.0913,9.88,371.39
90,L,14485380000,0.939,9.22,6.15,1.654,0.0937,0.111,0.813,46.12
91,LOW,176104040000,1.294,21.94,11.47,2.104,655.35,0.0863,321.82,162.37
92,LUMN,12419836000,0.987,None,-0.709,2.1,-0.0614,-0.0383,1.111,12.18
93,LYB,29920604000,1.468,5.21,17.12,1.042,0.593,0.139,2.536,85.19
94,MTB,19587078000,1.078,10.71,13.95,-,0.111,0.312,1.241,132.68
95,MRO,12627868000,3.032,None,-0.052,3.444,-0.0038,-0.0087,1.17,9.13
96,MPC,39206779000,2.088,4.384,14.25,0.533,0.0511,0.0898,1.386,46.93
97,MKTX,14672138000,0.368,54.09,7.31,20.3,0.285,0.395,13.9,466.97
98,MAR,52373099000,1.75,107.85,1.428,5.36,0.814,0.164,57.05,123.42
99,MMC,86741024000,0.927,31.94,5.29,5.15,0.295,0.142,8.91,122.63
100,MLM,27408731000,0.697,37.41,11.65,6.0,0.12,0.152,4.312,286.96
